payee_name,honoree_name,n_contributions,total_amount,distinct_filings,distinct_contributors
ROSEN FOR NEVADA,Sen. Jacky Rosen,335,695785.77,275,134
GUTHRIE FOR CONGRESS,Rep. S. Brett Guthrie,297,692500.0,230,96
DELBENE FOR CONGRESS,Rep. Suzan DelBene,394,692060.0,329,150
SCOTT PETERS FOR CONGRESS,Rep. Scott Peters,327,691875.0,294,120
CLAUDIA TENNEY FOR CONGRESS,Rep. Claudia Tenney,407,687620.03,340,129
CHC BOLD PAC,CHC Bold PAC,180,681978.98,168,81
DR JOHN JOYCE FOR CONGRESS,Rep. John Joyce,326,681250.0,278,103
DCCC,None,23,677310.0,14,2
HERN FOR CONGRESS,Rep. Kevin Hern,335,675205.08,301,128
MIKE JOHNSON FOR LOUISIANA,Mike Johnson,217,674666.66,182,76
PALLONE FOR CONGRESS,Rep. Frank Pallone,307,674050.0,283,99
WICKER FOR SENATE,Roger Wicker,404,673700.0,359,111
REPUBLICAN MAINSTREET PARTNERSHIP PAC,Republican Mainstreet Partnership PAC,156,672500.0,143,79
NIKKI FOR CONGRESS,Nikki Budzinski,380,671536.9800000001,337,89
MIKE THOMPSON FOR CONGRESS,Rep. Mike Thompson,311,670808.0700000001,258,129
SCOTT PETERS FOR CONGRESS,Scott Peters,387,666568.53,340,113
DSCC,None,23,665710.0,14,2
YOUNG KIM FOR CONGRESS,Rep. Young Kim,295,661870.51,269,117
PETE AGUILAR FOR CONGRESS,Rep. Peter Ray Aguilar,293,661000.0,221,93
TAMMY BALDWIN FOR SENATE,Tammy Baldwin,361,659425.33,319,102
HUDSON FOR CONGRESS,Rep. Richard Hudson,316,655350.0,291,90
DARREN SOTO FOR CONGRESS,Darren Soto,350,654300.0,304,101
ALAMO PAC,"Sen. John Cornyn, III",184,653500.0,173,73
HUIZENGA FOR CONGRESS,Bill Huizenga,295,653421.0,239,77
BLUEGRASS COMMITTEE,Sen. Mitch McConnell,171,648750.0,163,86
LAHOOD FOR CONGRESS,Rep. Darin M. LaHood,271,648000.0,227,94
HERN FOR CONGRESS,Kevin Hern,399,646800.3200000001,320,101
GRAVES FOR CONGRESS,Sam Graves,286,644850.0,247,91
VERN BUCHANAN FOR CONGRESS,Rep. Vernon Gale Buchanan,265,644750.0,219,96
COLE FOR CONGRESS,Rep. Tom Cole,326,639750.0,278,108
VERN BUCHANAN FOR CONGRESS,Rep. Vern Buchanan,297,634803.0,269,119
NEVADANS FOR STEVEN HORSFORD,Rep. Steven Alexzander Horsford,328,633816.9299999999,263,93
ANN WAGNER FOR CONGRESS,Ann Wagner,324,633300.0,266,85
FRIENDS OF MARK WARNER,Sen. Mark Warner,340,633061.0,277,142
MCHENRY FOR CONGRESS,Rep. Patrick Timothy McHenry,199,633050.0,169,91
KAPTUR FOR CONGRESS,Marcy Kaptur,323,632926.0599999999,284,76
JOHNSON LEADERSHIP FUND,Johnson Leadership Fund,51,628750.0,47,29
HOYER FOR CONGRESS,Steny Hoyer,233,625985.0,220,88
GALLEGO FOR ARIZONA,Ruben Gallego,334,624398.4199999999,287,79
VARIOUS UNIVERSITY DEPARTMENTS & VENDORS PROVIDING AUDIO;VIDEO;CHAIRS;LIGHTING,"Commencement Ceremony including Honorary Doctor of Laws Degree Recipient Amy Gutmann, US Ambassador to the Federal Rep of Germany; degree; dinner; lunch; travel & hotel; approx. 10,000 people attended",1,624008.0,1,1
FRENCH HILL FOR ARKANSAS,Rep. French Hill,264,623450.0,224,98
FRIENDS OF DAVID SCHWEIKERT,Rep. David Schweikert,370,623350.0,314,117
NICOLE FOR NEW YORK,Rep. Nicole Malliotakis,345,623100.0,298,126
HUIZENGA FOR CONGRESS,Rep. Bill Huizenga,247,620175.0,203,87
NEVADANS FOR STEVEN HORSFORD,Rep. Steven Horsford,396,619005.77,336,151
"CONGRESSIONAL HISPANIC CAUCUS INSTITUTE, INC",Congressional Hispanic Caucus Members,11,617969.48,5,1
DON DAVIS FOR NC,Don Davis,303,616850.0,262,96
PETE RICKETTS FOR SENATE,Pete Ricketts,290,614008.8,246,85
HALEY STEVENS FOR CONGRESS,Haley Stevens,355,610116.49,311,83
ASIAN PACIFIC AMERICAN INSTITUTE FOR CONGRESSIONAL STUDIES,Rep. Judy Chu,12,610000.0,11,1
DON BACON FOR CONGRESS,Don Bacon,312,608276.37,265,76
FRIENDS OF MARK WARNER,Mark Warner,385,607608.0,309,112
MIKE THOMPSON FOR CONGRESS,Mike Thompson,290,606778.0,255,95
RICHARD E NEAL FOR CONGRESS COMMITTEE,Rep. Richard Neal,230,605500.0,199,123
BILL FOSTER FOR CONGRESS,Rep. Bill Foster,341,605000.0,282,101
CASA IN ACTION PAC,CASA IN ACTION PAC,8,605000.0,4,2
BIDEN VICTORY FUND,Joe Biden,66,604222.79,53,6
RICHARD E NEAL FOR CONGRESS COMMITTEE,Richard Neal,223,603900.0,192,83
KEVIN MCCARTHY FOR CONGRESS,Rep. Kevin Owen McCarthy,143,603500.0,119,74
ASHLEY HINSON FOR CONGRESS,Ashley Hinson,353,601135.76,316,94
CONGRESSIONAL BLACK CAUCUS PAC - MARCUS SERVES ON THE BOARD,Senate Majority PAC,2,600000.0,2,1
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,None,24,600000.0,5,1
CONGRESSIONAL BLACK CAUCUS FOUNDATION,"Rep. Terri Sewell, Rep. Joyce Beatty, Rep. Troy Carter, Rep. Glenn Ivey, Rep. Robin Kelly, Rep. Lucy McBath, Rep. Stacey E. Plaskett, Rep. Frederica S. Wilson",3,600000.0,3,1
SMITHSONIAN INSTITUTION-OSP/SMITHSONIAN SCIENCE EDUCATION CENTER (SSEC),"Board of Regents: Chief Justice John Roberts Jr., Vice President Kamala Harris, Sen. John Boozman, Sen. Catherine Cortez Masto, Sen. Gary Peters, Rep. Garret Graves, Rep. Doris Matsui, Rep. A",1,600000.0,1,1
THE RONALD REAGAN FOUNDATION AND INSTITUTE,Ronald Reagan,2,600000.0,2,1
WFP NATIONAL PAC NON-CONTRIBUTION,WFP NATIONAL PAC NON-CONTRIBUTION,10,600000.0,2,1
SOMOS PAC,SOMOS PAC,2,600000.0,1,1
SCHNEIDER FOR CONGRESS,Brad Schneider,320,599000.0,283,104
WESTERMAN FOR CONGRESS,Bruce Westerman,348,598200.0,302,94
HUDSON FOR CONGRESS,"Rep. Richard Lane Hudson, Jr.",232,597500.0,200,88
TERRI SEWELL FOR CONGRESS,Rep. Terrycina Andrea Sewell,309,597500.0,239,99
ROSEN FOR NEVADA,Jacky Rosen,339,595396.19,284,93
GUTHRIE FOR CONGRESS,Rep Brett Guthrie,217,595100.0,185,82
"VARIOUS VENDORS FOR OUR GALA INC. THE VENUE, CATERING, AUDIO VISUAL & STAGING.","At our annual fundraising gala, Rep. Hakeem Jeffries was honored. Other honorees were Arian Simone of the Fearless Fund, & clients Ruthie Walls, Colton Gilbert, Giselle Davis, Sadie Bell Reynolds.",1,594429.0,1,1
AMERICAN REVIVAL PAC,Rep. Mike Johnson,137,592500.0,135,77
