filing_uuid,filing_year,filing_period,registrant_name,client_name,client_country,client_ppb_country,foreign_entity_name,foreign_entity_country,foreign_entity_ppb,income,url
9933e4c1-6361-4eb3-85ed-7f8fb79cdde6,2022,third_quarter,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",DTEK INTERNATIONAL LIMITED,GB,UA,RINAT AKHMETOV,VI,VI,120000.0,https://lda.senate.gov/api/v1/filings/9933e4c1-6361-4eb3-85ed-7f8fb79cdde6/?format=json
61c42481-1b26-4801-928a-de193b42ad01,2025,second_quarter,ONMESSAGE PUBLIC STRATEGIES,MERIT SPREAD FOUNDATION INC.,US,US,HOSTAGES AND MISSING FAMILIES FORUM,IL,IL,110000.0,https://lda.senate.gov/api/v1/filings/61c42481-1b26-4801-928a-de193b42ad01/?format=json
9958a1d3-9117-4cdf-ad28-3ab60fbec898,2023,fourth_quarter,"CROSSROADS STRATEGIES, LLC",TIKTOK INC.,US,US,ZHANG YIMING (OWNS 100% OF BYTETEAM LTD.),SG,SG,110000.0,https://lda.senate.gov/api/v1/filings/9958a1d3-9117-4cdf-ad28-3ab60fbec898/?format=json
9958a1d3-9117-4cdf-ad28-3ab60fbec898,2023,fourth_quarter,"CROSSROADS STRATEGIES, LLC",TIKTOK INC.,US,US,BYTEDANCE LTD. (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD.),KY,KY,110000.0,https://lda.senate.gov/api/v1/filings/9958a1d3-9117-4cdf-ad28-3ab60fbec898/?format=json
9958a1d3-9117-4cdf-ad28-3ab60fbec898,2023,fourth_quarter,"CROSSROADS STRATEGIES, LLC",TIKTOK INC.,US,US,BYTETEAM LTD. (OWNS APPROXIMATELY 21% OF BYTEDANCE LTD.),VG,VG,110000.0,https://lda.senate.gov/api/v1/filings/9958a1d3-9117-4cdf-ad28-3ab60fbec898/?format=json
9958a1d3-9117-4cdf-ad28-3ab60fbec898,2023,fourth_quarter,"CROSSROADS STRATEGIES, LLC",TIKTOK INC.,US,US,TIKTOK LTD. (OWNS 100% OF TIKTOK LLC WHICH OWNS 100% OF TIKTOK INC.),KY,KY,110000.0,https://lda.senate.gov/api/v1/filings/9958a1d3-9117-4cdf-ad28-3ab60fbec898/?format=json
b012ce84-4d3c-4447-a814-5cfc31d07da3,2024,second_quarter,VENN STRATEGIES,U.S. BATTERY MACHINE BUILDERS,US,US,DURR SYSTEMS,DE,DE,100000.0,https://lda.senate.gov/api/v1/filings/b012ce84-4d3c-4447-a814-5cfc31d07da3/?format=json
b012ce84-4d3c-4447-a814-5cfc31d07da3,2024,second_quarter,VENN STRATEGIES,U.S. BATTERY MACHINE BUILDERS,US,US,SIEMENS AG,DE,DE,100000.0,https://lda.senate.gov/api/v1/filings/b012ce84-4d3c-4447-a814-5cfc31d07da3/?format=json
4e56f063-9d60-4383-a3d2-14f8d737cece,2024,second_quarter,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","ZHEJIANG GEELY HOLDING GROUP CO., LTD.",CN,US,YE WEILIE,CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/4e56f063-9d60-4383-a3d2-14f8d737cece/?format=json
4e56f063-9d60-4383-a3d2-14f8d737cece,2024,second_quarter,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","ZHEJIANG GEELY HOLDING GROUP CO., LTD.",CN,US,PAN LEIFANG,CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/4e56f063-9d60-4383-a3d2-14f8d737cece/?format=json
